TimeDeath     ID      Tj      Df      Dd      Db
506     2491     202     58     246     304     AS
507     2534     220     19     268     287     AS
507     2245     107     38     362     400     AS
507     2187     86     417     4     421     AM
508     2752     308     26     174     200     AS
508     2539     223     40     245     285     AS
508     2143     67     41     400     441     AD
508     2174     78     0     430     430     AM
509     2171     78     7     424     431     AM
511     2159     73     0     438     438     AM
512     2706     287     23     202     225     AS
512     2707     287     79     146     225     AS
513     2553     226     19     268     287     AS
513     2170     78     431     4     435     AM
513     2167     75     0     438     438     AM
517     2155     73     441     3     444     AM
518     2471     191     0     327     327     AD
518     2156     73     441     4     445     AM
520     2661     272     23     225     248     AS
520     2146     71     0     449     449     AM
521     2622     253     0     268     268     AD
521     2152     73     445     3     448     AM
522     2871     349     28     145     173     AS
523     2953     379     30     114     144     AS
523     2136     67     2     454     456     AM
523     2149     71     0     452     452     AM
523     2140     67     0     456     456     AM
524     2508     213     39     272     311     AS
524     2737     298     82     144     226     AS
524     2132     66     0     458     458     AM
526     2130     66     0     460     460     AM
527     2583     233     68     226     294     AS
528     2876     358     28     142     170     AS
528     2129     66     458     4     462     AM
528     2126     65     0     463     463     AM
529     2548     224     0     305     305     AD
530     2528     220     19     291     310     AS
530     2841     333     28     169     197     AS
531     2757     308     26     197     223     AS
531     2542     223     40     268     308     AS
531     2125     65     0     466     466     AM
532     2765     309     26     197     223     AS
532     2563     230     35     267     302     AD
533     2123     65     464     4     468     AM
533     2423     175     25     333     358     AD
534     2417     175     91     268     359     AS
535     2107     61     3     471     474     AM
536     2097     55     3     478     481     AM
537     2850     342     28     167     195     AS
537     2088     51     3     483     486     AM
537     2086     49     0     488     488     AM
539     2432     178     93     268     361     AS
539     2920     374     60     105     165     AS
539     2761     309     53     177     230     AD
539     2109     61     3     475     478     AM
540     988     348     148     44     192     ET
541     2085     49     0     492     492     AM
541     2907     367     0     174     174     AD
543     2867     349     28     166     194     AS
543     2567     230     20     293     313     AS
543     2666     273     23     247     270     AS
543     2084     49     491     3     494     AM
544     2729     297     53     194     247     AS
544     2809     322     87     135     222     AS
544     2586     235     136     173     309     AD
544     2083     49     493     2     495     AM
545     2820     323     29     193     222     AS
545     2823     323     29     193     222     AS
545     2741     298     25     222     247     AS
545     2048     39     9     497     506     AM
546     2620     253     22     271     293     AS
546     2623     253     46     247     293     AS
547     2691     277     79     191     270     AS
548     2438     178     0     370     370     AD
549     2833     330     28     191     219     AS
551     2630     262     22     267     289     AS
551     2762     309     26     216     242     AS
552     2991     393     31     128     159     AS
552     2462     189     34     329     363     AS
552     2896     365     60     127     187     AS
554     2551     224     19     311     330     AS
554     2909     367     119     68     187     AS
555     2604     245     22     288     310     AS
555     2777     313     27     215     242     AS
556     2712     290     79     187     266     AS
558     2717     290     24     244     268     AS
559     2654     270     22     267     289     AS
559     2710     287     45     227     272     AD
561     2660     272     75     214     289     AS
562     2938     376     30     156     186     AS
562     2564     230     20     312     332     AS
562     2566     230     20     312     332     AS
564     2818     323     29     212     241     AS
566     2577     233     43     290     333     AS
567     2875     358     28     181     209     AS
568     2882     359     90     119     209     AS
569     2492     202     37     330     367     AS
569     2730     297     50     222     272     AD
570     2862     348     61     161     222     AD
571     2766     309     55     207     262     AS
571     2992     394     31     146     177     AS
571     2286     123     11     437     448     AD
574     2912     370     29     175     204     AS
574     2914     370     61     143     204     AS
574     2917     370     61     143     204     AS
574     2414     172     24     378     402     AD
575     2718     290     24     261     285     AS
575     2796     315     28     232     260     AS
576     2725     293     25     258     283     AS
577     2610     250     44     283     327     AS
580     2616     253     22     305     327     AS
581     2687     276     79     226     305     AS
581     2371     154     122     305     427     AS
581     2968     385     61     135     196     AS
581     2767     309     0     272     272     AD
582     2832     330     28     224     252     AS
582     2899     365     0     217     217     AD
583     2887     359     29     195     224     AS
583     2448     185     33     365     398     AS
583     2843     333     57     193     250     AS
585     2999     394     91     100     191     AS
585     2915     370     65     150     215     AD
585     2669     273     160     152     312     AD
586     2636     267     21     298     319     AS
586     2638     267     21     298     319     AS
588     2854     342     28     218     246     AS
588     2203     91     46     451     497     AS
588     2649     270     75     243     318     AS
589     2435     178     16     395     411     AS
589     2608     250     124     215     339     AS
589     2612     250     44     295     339     AS
589     2656     272     47     270     317     AS
590     2800     320     116     154     270     AS
590     2859     348     58     184     242     AS
591     2336     139     25     427     452     AS
591     2594     238     41     312     353     AD
